subject_id,workflow_id,task,reducer,data.no,data.yes,data.aggregation_version,data.i-m-not-sure
50614354,16423,T1,question_reducer,1.0,1.0,3.6.0,
50614354,16423,T3,question_reducer,1.0,,3.6.0,
50614358,16423,T1,question_reducer,1.0,,3.6.0,
50614358,16423,T3,question_reducer,,,3.6.0,
50614359,16423,T1,question_reducer,,1.0,3.6.0,
50614359,16423,T3,question_reducer,1.0,,3.6.0,
50614364,16423,T1,question_reducer,1.0,,3.6.0,
50614364,16423,T3,question_reducer,,,3.6.0,
50614366,16423,T1,question_reducer,1.0,,3.6.0,
50614366,16423,T3,question_reducer,,,3.6.0,
50614367,16423,T1,question_reducer,,1.0,3.6.0,
50614367,16423,T3,question_reducer,1.0,,3.6.0,
50614369,16423,T1,question_reducer,1.0,,3.6.0,
50614369,16423,T3,question_reducer,,,3.6.0,
50614370,16423,T1,question_reducer,1.0,,3.6.0,
50614370,16423,T3,question_reducer,,,3.6.0,
50614371,16423,T1,question_reducer,,2.0,3.6.0,
50614371,16423,T3,question_reducer,2.0,,3.6.0,
50614373,16423,T1,question_reducer,1.0,,3.6.0,
50614373,16423,T3,question_reducer,,,3.6.0,
50614375,16423,T1,question_reducer,,1.0,3.6.0,
50614375,16423,T3,question_reducer,1.0,,3.6.0,
50614377,16423,T1,question_reducer,1.0,,3.6.0,1.0
50614377,16423,T3,question_reducer,,,3.6.0,
50614379,16423,T1,question_reducer,1.0,,3.6.0,
50614379,16423,T3,question_reducer,,,3.6.0,
50614380,16423,T1,question_reducer,1.0,,3.6.0,
50614380,16423,T3,question_reducer,,,3.6.0,
50614381,16423,T1,question_reducer,1.0,,3.6.0,
50614381,16423,T3,question_reducer,,,3.6.0,
50614384,16423,T1,question_reducer,1.0,,3.6.0,
50614384,16423,T3,question_reducer,,,3.6.0,
50614386,16423,T1,question_reducer,,,3.6.0,1.0
50614386,16423,T3,question_reducer,,,3.6.0,
50614394,16423,T1,question_reducer,,1.0,3.6.0,
50614394,16423,T3,question_reducer,1.0,,3.6.0,
50614395,16423,T1,question_reducer,,1.0,3.6.0,
50614395,16423,T3,question_reducer,1.0,,3.6.0,
50614404,16423,T1,question_reducer,,1.0,3.6.0,
50614404,16423,T3,question_reducer,1.0,,3.6.0,
50614408,16423,T1,question_reducer,1.0,,3.6.0,
50614408,16423,T3,question_reducer,,,3.6.0,
50614409,16423,T1,question_reducer,1.0,,3.6.0,
50614409,16423,T3,question_reducer,,,3.6.0,
50614411,16423,T1,question_reducer,,2.0,3.6.0,
50614411,16423,T3,question_reducer,2.0,,3.6.0,
50614417,16423,T1,question_reducer,,1.0,3.6.0,
50614417,16423,T3,question_reducer,1.0,,3.6.0,
50614418,16423,T1,question_reducer,,1.0,3.6.0,
50614418,16423,T3,question_reducer,1.0,,3.6.0,
50614421,16423,T1,question_reducer,,1.0,3.6.0,
50614421,16423,T3,question_reducer,1.0,,3.6.0,
50614422,16423,T1,question_reducer,2.0,,3.6.0,
50614422,16423,T3,question_reducer,,,3.6.0,
50614423,16423,T1,question_reducer,1.0,,3.6.0,
50614423,16423,T3,question_reducer,,,3.6.0,
50614425,16423,T1,question_reducer,,1.0,3.6.0,
50614425,16423,T3,question_reducer,1.0,,3.6.0,
50614427,16423,T1,question_reducer,,1.0,3.6.0,
50614427,16423,T3,question_reducer,,1.0,3.6.0,
50614438,16423,T1,question_reducer,,1.0,3.6.0,
50614438,16423,T3,question_reducer,1.0,,3.6.0,
50614440,16423,T1,question_reducer,,1.0,3.6.0,
50614440,16423,T3,question_reducer,1.0,,3.6.0,
50614446,16423,T1,question_reducer,1.0,,3.6.0,
50614446,16423,T3,question_reducer,,,3.6.0,
50614447,16423,T1,question_reducer,,2.0,3.6.0,
50614447,16423,T3,question_reducer,2.0,,3.6.0,
50614448,16423,T1,question_reducer,1.0,1.0,3.6.0,
50614448,16423,T3,question_reducer,,1.0,3.6.0,
50614449,16423,T1,question_reducer,1.0,,3.6.0,
50614449,16423,T3,question_reducer,,,3.6.0,
50614450,16423,T1,question_reducer,1.0,,3.6.0,
50614450,16423,T3,question_reducer,,,3.6.0,
50614452,16423,T1,question_reducer,1.0,,3.6.0,
50614452,16423,T3,question_reducer,,,3.6.0,
50614453,16423,T1,question_reducer,1.0,,3.6.0,
50614453,16423,T3,question_reducer,,,3.6.0,
50614460,16423,T1,question_reducer,1.0,,3.6.0,
50614460,16423,T3,question_reducer,,,3.6.0,
50614466,16423,T1,question_reducer,1.0,,3.6.0,
50614466,16423,T3,question_reducer,,,3.6.0,
50614471,16423,T1,question_reducer,,1.0,3.6.0,
50614471,16423,T3,question_reducer,1.0,,3.6.0,
50614473,16423,T1,question_reducer,,1.0,3.6.0,
50614473,16423,T3,question_reducer,1.0,,3.6.0,
50614481,16423,T1,question_reducer,1.0,,3.6.0,
50614481,16423,T3,question_reducer,,,3.6.0,
50614483,16423,T1,question_reducer,,1.0,3.6.0,
50614483,16423,T3,question_reducer,1.0,,3.6.0,
50614488,16423,T1,question_reducer,1.0,,3.6.0,
50614488,16423,T3,question_reducer,,,3.6.0,
50614497,16423,T1,question_reducer,,1.0,3.6.0,
50614497,16423,T3,question_reducer,1.0,,3.6.0,
50614499,16423,T1,question_reducer,,1.0,3.6.0,
