classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.text,data.gold_standard,data.aggregation_version
349185000,ameliadrodarte,2326536.0,16423,T2,2021-07-30 18:32:35 UTC,50614769,text_extractor,"4. No person of any race or nationality other than the Caucasian race, for which the premises are intended, shall use or occupy any building on any lot except that this covenant shall not prevent occupancy by domestic servants of a different rate or nationality employed by a owner or tenant nor shall it prevent occupancy by members of the family of such domestic servant or servants.",False,3.6.0
349185000,ameliadrodarte,2326536.0,16423,T4,2021-07-30 18:32:35 UTC,50614769,text_extractor,,False,3.6.0
349185528,ameliadrodarte,2326536.0,16423,T2,2021-07-30 18:35:53 UTC,50836909,text_extractor,"That the premises shall not be owned or occupied by negroes or persons of negro blood, provided that this shall not be construed to prevent the living upon the premises of any negro who is employed for domestic purposes by the occupants of the dwelling on said land.",False,3.6.0
349185528,ameliadrodarte,2326536.0,16423,T4,2021-07-30 18:35:53 UTC,50836909,text_extractor,,False,3.6.0
349919240,Rvparrish,2328682.0,16423,T2,2021-08-04 16:08:46 UTC,50837601,text_extractor," 5. The lot or lots hereby conveyed shall not be sold, transferred, conveyed, devised, leased or rented to persons
of negro blood, provided that this shall not be construed to prevent the living upon the premises of any negro servant
or servants whose time shall be employed for domestic purposes only by the occupants of the dwelling house.",False,3.6.0
349919240,Rvparrish,2328682.0,16423,T4,2021-08-04 16:08:46 UTC,50837601,text_extractor,,False,3.6.0
349919414,Rvparrish,2328682.0,16423,T2,2021-08-04 16:10:23 UTC,50722771,text_extractor,,,3.6.0
349919414,Rvparrish,2328682.0,16423,T4,2021-08-04 16:10:23 UTC,50722771,text_extractor,,False,3.6.0
349919829,Rvparrish,2328682.0,16423,T2,2021-08-04 16:14:07 UTC,50837577,text_extractor,"That the said property shall not be sold, leased or rented to any Negro or person of African descent. ",False,3.6.0
349919829,Rvparrish,2328682.0,16423,T4,2021-08-04 16:14:07 UTC,50837577,text_extractor,,False,3.6.0
349920148,Rvparrish,2328682.0,16423,T2,2021-08-04 16:16:57 UTC,50722911,text_extractor,"NO property of building shall be owned or occupied by the colored race,
except such buildings as may be constructed by the owners and residents of the property for the
use of their servants.",False,3.6.0
349920148,Rvparrish,2328682.0,16423,T4,2021-08-04 16:16:57 UTC,50722911,text_extractor,,False,3.6.0
349920486,Rvparrish,2328682.0,16423,T2,2021-08-04 16:19:41 UTC,50837085,text_extractor,"It is understood and agreed between the parties hereto and made a part of this deed
that the lot herein described and conveyed shall never be owned or occupied by a
colored person, and that the party of the second part will not dispose of the property
to a colored person.",False,3.6.0
349920486,Rvparrish,2328682.0,16423,T4,2021-08-04 16:19:41 UTC,50837085,text_extractor,,False,3.6.0
349921360,Rvparrish,2328682.0,16423,T2,2021-08-04 16:24:53 UTC,51716647,text_extractor,,,3.6.0
349921360,Rvparrish,2328682.0,16423,T4,2021-08-04 16:24:53 UTC,51716647,text_extractor,"The deed that begins on Book 349 Page 120 does contain covenants, but not the deed on Page 119",False,3.6.0
349921461,Rvparrish,2328682.0,16423,T2,2021-08-04 16:25:28 UTC,50614639,text_extractor,,,3.6.0
349921461,Rvparrish,2328682.0,16423,T4,2021-08-04 16:25:28 UTC,50614639,text_extractor,,False,3.6.0
349921512,Rvparrish,2328682.0,16423,T2,2021-08-04 16:25:45 UTC,50836855,text_extractor,,,3.6.0
349921512,Rvparrish,2328682.0,16423,T4,2021-08-04 16:25:45 UTC,50836855,text_extractor,,False,3.6.0
349921904,Rvparrish,2328682.0,16423,T2,2021-08-04 16:28:05 UTC,50723159,text_extractor,,,3.6.0
349921904,Rvparrish,2328682.0,16423,T4,2021-08-04 16:28:05 UTC,50723159,text_extractor,,False,3.6.0
349922663,Rvparrish,2328682.0,16423,T2,2021-08-04 16:33:48 UTC,50836938,text_extractor,"And second part- as evidenced by the acceptance of this indenture expressly agree as a part of the consideration for
this conveyance, that said property shall be used solely as a place for .burial of the dead of the white race and
that right of interment in the lot or any part thereof, shall not be sold or conveyed to any person or persons of African
descent. nor shall any portion of said lot be used for the burial of any person of African descent: and in the event of the
violation of this condition, the right of interment in said lot shall thereupon *evert to and become vested in the
first party, its successors or assigns.",False,3.6.0
349922663,Rvparrish,2328682.0,16423,T4,2021-08-04 16:33:48 UTC,50836938,text_extractor,,False,3.6.0
350072168,Rvparrish,2328682.0,16423,T2,2021-08-05 14:16:49 UTC,51716499,text_extractor,It is further understood and agreed that said lot shall never be owned or occupied by a colored person.,False,3.6.0
350072168,Rvparrish,2328682.0,16423,T4,2021-08-05 14:16:49 UTC,51716499,text_extractor,,False,3.6.0
350072270,Rvparrish,2328682.0,16423,T2,2021-08-05 14:17:16 UTC,51492249,text_extractor,,,3.6.0
350072270,Rvparrish,2328682.0,16423,T4,2021-08-05 14:17:16 UTC,51492249,text_extractor,,False,3.6.0
350072632,Rvparrish,2328682.0,16423,T2,2021-08-05 14:18:43 UTC,50837272,text_extractor,,,3.6.0
350072632,Rvparrish,2328682.0,16423,T4,2021-08-05 14:18:43 UTC,50837272,text_extractor,,False,3.6.0
350072994,Rvparrish,2328682.0,16423,T2,2021-08-05 14:20:04 UTC,50723091,text_extractor,,,3.6.0
350072994,Rvparrish,2328682.0,16423,T4,2021-08-05 14:20:04 UTC,50723091,text_extractor,,False,3.6.0
350074952,Rvparrish,2328682.0,16423,T2,2021-08-05 14:27:18 UTC,51716897,text_extractor,"Seventh: That the lot hereby conveyed shall not be sold, transferred, conveyed used, or rented, to persons of the
negro blood, provided that this shall not be construed to prevent the living upon the premises of any negro servant
or servants whose time shall be employed for domestic purposes only by the occupants of the dwelling house.",False,3.6.0
350074952,Rvparrish,2328682.0,16423,T4,2021-08-05 14:27:18 UTC,51716897,text_extractor,,False,3.6.0
350075394,Rvparrish,2328682.0,16423,T2,2021-08-05 14:29:03 UTC,51716716,text_extractor,"Eighth: That the lot hereby conveyed shall not be sold, transferred, conveyed, leased, or rented to persons of the
negro blood, provided that this shall not be construed to prevent the living upon the premises of any negro servant
or servants whose time shall be employed for domestic purposes only by the occupants of the dwelling house.",False,3.6.0
350075394,Rvparrish,2328682.0,16423,T4,2021-08-05 14:29:03 UTC,51716716,text_extractor,,False,3.6.0
350077039,Rvparrish,2328682.0,16423,T2,2021-08-05 14:36:34 UTC,50837378,text_extractor,,,3.6.0
350077039,Rvparrish,2328682.0,16423,T4,2021-08-05 14:36:34 UTC,50837378,text_extractor,,False,3.6.0
350077382,Rvparrish,2328682.0,16423,T2,2021-08-05 14:37:54 UTC,50837510,text_extractor,"Eighth: That the lot hereby conveyed shall not be sold, transferred, conveyed, leased, or rented to persons of the
negro blood, provided that this shall not be construed to prevent the living upon the premises of any negro servant
or servants whose time shall be employed for domestic purposes only by the occupants of the dwelling house.",False,3.6.0
350077382,Rvparrish,2328682.0,16423,T4,2021-08-05 14:37:54 UTC,50837510,text_extractor,,False,3.6.0
350127820,Rvparrish,2328682.0,16423,T2,2021-08-05 18:00:41 UTC,50989288,text_extractor,"This Property shall be used for residential purposes only, and no building other than residence except
garages or outhouses for domestic purposes shall be built thereon. The said property shall not be owned
or occupied by a member of the negro race, except such buildings as may be constructed by the owners and
residents for the use of their servants",False,3.6.0
350127820,Rvparrish,2328682.0,16423,T4,2021-08-05 18:00:41 UTC,50989288,text_extractor,,False,3.6.0
350128380,Rvparrish,2328682.0,16423,T2,2021-08-05 18:02:26 UTC,50989541,text_extractor,,,3.6.0
350128380,Rvparrish,2328682.0,16423,T4,2021-08-05 18:02:26 UTC,50989541,text_extractor,,False,3.6.0
350131028,Rvparrish,2328682.0,16423,T2,2021-08-05 18:11:33 UTC,50837155,text_extractor,"Third: That the premises shall not be owned or occupied by negroes or persons of negro blood, provided
that this shall not be construed to prevent the living upon the premises of any negro who is employed
for domestic purposes by the occupants of the dwelling on said land.
Fifth: All covenants binding upon the parties of the second part or their successors, heirs and assigns,
except the third covenant concerning the occupation of the premises by negroes or persons of negro
blood, shall conclude and expire January 1, 1963, and that all covenants on the part of the parties of the
the second part shall be binding upon the said parties of the second part, their heirs, assigns, executors and
administrators.",False,3.6.0
