subject_id,workflow_id,task,reducer,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.gold_standard,data.user_ids,data.aggregation_version
50614354,16423,T2,text_reducer,"[['It'], ['is'], ['further'], ['understood'], ['and'], ['agreed'], ['that'], ['said'], ['lot'], ['shall'], ['never'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['a'], ['colored'], ['person.']]",1.0,1.0,It is further understood and agreed that said lot shall never be owned or occupied by a colored person.,[False],[2468673.0],3.6.0
50614354,16423,T4,text_reducer,,,,,,,3.6.0
50614358,16423,T2,text_reducer,,,,,,,3.6.0
50614358,16423,T4,text_reducer,,,,,,,3.6.0
50614359,16423,T2,text_reducer,"[['It'], ['is'], ['further'], ['understood'], ['and'], ['agreed'], ['that'], ['said'], ['lot'], ['shall'], ['never'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['a'], ['colored'], ['person.']]",1.0,1.0,It is further understood and agreed that said lot shall never be owned or occupied by a colored person.,[False],[2352207.0],3.6.0
50614359,16423,T4,text_reducer,,,,,,,3.6.0
50614364,16423,T2,text_reducer,,,,,,,3.6.0
50614364,16423,T4,text_reducer,,,,,,,3.6.0
50614366,16423,T2,text_reducer,,,,,,,3.6.0
50614366,16423,T4,text_reducer,,,,,,,3.6.0
50614367,16423,T2,text_reducer,"[['It'], ['is'], ['further'], ['understood'], ['and'], ['agresithat'], ['said'], ['lot'], ['shall'], ['never'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['a'], ['colored'], ['persen.'], ['To'], ['HAVE'], ['AND'], ['TO'], ['HOLD'], ['said'], ['lot'], ['or'], ['parcel'], ['of'], ['land,'], ['together'], ['with'], ['all'], ['privileges'], ['and'], ['appurtenances'], ['thereon'], ['and'], ['thereunto'], ['belonging,'], ['unto'], ['the'], ['said'], ['part_ies'], ['the'], ['second'], ['part'], ['and'], ['their'], ['.heirs'], ['and'], ['assigns'], ['forever.']]",1.0,1.0,"It is further understood and agresithat said lot shall never be owned or occupied by a colored persen. To HAVE AND TO HOLD said lot or parcel of land, together with all privileges and appurtenances thereon and thereunto belonging, unto the said part_ies the second part and their .heirs and assigns forever.",[False],[2180620.0],3.6.0
50614367,16423,T4,text_reducer,,,,,,,3.6.0
50614369,16423,T2,text_reducer,,,,,,,3.6.0
50614369,16423,T4,text_reducer,"[['While'], ['there'], ['are'], ['no'], ['racial'], ['covenants'], ['in'], ['this'], ['document,'], ['I'], ['wanted'], ['to'], ['flag'], ['that'], ['there'], ['is'], ['other'], ['racialized'], ['language'], ['in'], ['describing'], ['the'], ['extent'], ['of'], ['the'], ['property:'], ['""thence'], ['along'], ['said'], ['road'], ['as'], ['it'], ['meanders'], ['16.92'], ['chains'], ['to'], ['Northeast'], ['corner'], ['of'], ['colored'], ['church'], ['lot""']]",1.0,1.0,"While there are no racial covenants in this document, I wanted to flag that there is other racialized language in describing the extent of the property: ""thence along said road as it meanders 16.92 chains to Northeast corner of colored church lot""",[False],[2365883.0],3.6.0
50614370,16423,T2,text_reducer,,,,,,,3.6.0
50614370,16423,T4,text_reducer,,,,,,,3.6.0
50614371,16423,T2,text_reducer,"[['It', 'It'], ['is', 'is'], ['further', 'further'], ['understood', 'understood'], ['and', ""an'd""], ['agreed', 'agreed'], ['that', 'that'], ['said', 'said'], ['lot', 'lot'], ['shall', 'shall'], ['never', 'never'], ['be', 'be'], ['owned', 'ewned'], ['or', 'or'], ['occupied', 'occupied'], ['by', 'by'], ['a', 'a'], ['colored', 'colored'], ['person.', 'person.']]",2.0,1.894736842105263,It is further understood and agreed that said lot shall never be owned or occupied by a colored person.,"[False, False]","[2418206.0, nan]",3.6.0
50614371,16423,T4,text_reducer,,,,,,,3.6.0
50614373,16423,T2,text_reducer,,,,,,,3.6.0
50614373,16423,T4,text_reducer,,,,,,,3.6.0
50614375,16423,T2,text_reducer,"[['No'], ['need;'], ['but'], ['mentions'], ['North'], ['Carolina'], ['College'], ['for'], ['Negroes']]",1.0,1.0,No need; but mentions North Carolina College for Negroes,[False],[2418206.0],3.6.0
50614375,16423,T4,text_reducer,,,,,,,3.6.0
50614377,16423,T2,text_reducer,,,,,,,3.6.0
50614377,16423,T4,text_reducer,"[['Mentions'], ['North'], ['Carolina'], ['College'], ['for'], ['Negroes']]",1.0,1.0,Mentions North Carolina College for Negroes,[False],[2418206.0],3.6.0
50614379,16423,T2,text_reducer,,,,,,,3.6.0
50614379,16423,T4,text_reducer,"[['Bought'], ['by'], ['NCCU']]",1.0,1.0,Bought by NCCU,[False],[nan],3.6.0
50614380,16423,T2,text_reducer,,,,,,,3.6.0
50614380,16423,T4,text_reducer,,,,,,,3.6.0
50614381,16423,T2,text_reducer,,,,,,,3.6.0
50614381,16423,T4,text_reducer,,,,,,,3.6.0
50614384,16423,T2,text_reducer,,,,,,,3.6.0
50614384,16423,T4,text_reducer,,,,,,,3.6.0
50614386,16423,T2,text_reducer,,,,,,,3.6.0
50614386,16423,T4,text_reducer,,,,,,,3.6.0
50614394,16423,T2,text_reducer,"[['It'], ['is'], ['further'], ['agreed'], ['that'], ['said'], ['lot'], ['shall'], ['never'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['a'], ['colored'], ['person.']]",1.0,1.0,It is further agreed that said lot shall never be owned or occupied by a colored person.,[False],[2143993.0],3.6.0
50614394,16423,T4,text_reducer,,,,,,,3.6.0
50614395,16423,T2,text_reducer,"[['That'], ['the'], ['premises'], ['shall'], ['not'], ['be'], ['owned'], ['or'], ['occupied'], ['by'], ['negroes'], ['or'], ['persons'], ['of'], ['negro'], ['blood'], ['provided'], ['that'], ['this'], ['shall'], ['not'], ['be'], ['construed'], ['to'], ['prevent'], ['the'], ['living'], ['upon'], ['the'], ['premises'], ['of'], ['any'], ['negro'], ['who'], ['is'], ['employed'], ['for'], ['domestic'], ['purposes'], ['by'], ['the'], ['occupants'], ['of'], ['the'], ['dwelling'], ['on'], ['said'], ['land.']]",1.0,1.0,That the premises shall not be owned or occupied by negroes or persons of negro blood provided that this shall not be construed to prevent the living upon the premises of any negro who is employed for domestic purposes by the occupants of the dwelling on said land.,[False],[nan],3.6.0
50614395,16423,T4,text_reducer,"[['There'], ['is'], ['language'], ['prefacing'], ['the'], ['restrictions'], ['that'], ['""thier'], ['heirs'], ['and'], ['assigns'], ['forever'], ['in'], ['fee'], ['simple...""'], ['sounds'], ['like'], ['the'], ['runs'], ['with'], ['the'], ['land'], ['clause.']]",1.0,1.0,"There is language prefacing the restrictions that ""thier heirs and assigns forever in fee simple..."" sounds like the runs with the land clause.",[False],[nan],3.6.0
50614404,16423,T2,text_reducer,"[['This'], ['lot'], ['is'], ['sold'], ['with'], ['the'], ['restriction'], ['and'], ['reservation'], ['and'], ['the'], ['same'], ['is'], ['made'], ['a'], ['part'], ['of'], ['this'], ['Deed'], ['that'], ['said'], ['lot'], ['shall'], ['not'], ['be'], ['sold'], ['to,'], ['nor'], ['a'], ['house'], ['built'], ['upon'], ['the'], ['same'], ['occupied'], ['by'], ['anyone'], ['other'], ['then'], ['the'], ['white'], ['race;']]",1.0,1.0,"This lot is sold with the restriction and reservation and the same is made a part of this Deed that said lot shall not be sold to, nor a house built upon the same occupied by anyone other then the white race;",[False],[2418206.0],3.6.0
50614404,16423,T4,text_reducer,,,,,,,3.6.0
50614408,16423,T2,text_reducer,,,,,,,3.6.0
50614408,16423,T4,text_reducer,,,,,,,3.6.0
50614409,16423,T2,text_reducer,,,,,,,3.6.0
50614409,16423,T4,text_reducer,,,,,,,3.6.0
